father,sire_show_rate,sire_lcb95,sire_show_rate_turf,sire_show_rate_dirt
A. P. Warrior,0.2222222222222222,0.046389263979611135,0.25,0.25
A.P. Indy,0.2222222222222222,0.046389263979611135,0.2222222222222222,0.2222222222222222
Acclamation,0.2222222222222222,0.08464510203057857,0.25,0.23076923076923078
Adios Charlie,0.1951219512195122,0.103606055427801,0.16666666666666666,0.2222222222222222
Adlerflug,0.15384615384615385,0.030460165659137187,0.15384615384615385,0.15384615384615385
Admire Don,0.17647058823529413,0.08227530489017439,0.2222222222222222,0.1935483870967742
Admire Moon,0.14285714285714285,0.02805337732017585,0.14285714285714285,0.14285714285714285
Afleet Alex,0.2,0.041023167506996534,0.2,0.2
After Market,0.3157894736842105,0.15634363948365287,0.25,0.3333333333333333
Air Force Blue,0.20833333333333334,0.12023002731419564,0.11764705882352941,0.2631578947368421
Al Kazeem,0.2222222222222222,0.046389263979611135,0.2222222222222222,0.2222222222222222
Al Wukair,0.4117647058823529,0.22669156846628724,0.4117647058823529,0.4117647058823529
Algorithms,0.2222222222222222,0.046389263979611135,0.2222222222222222,0.2222222222222222
Almanzor,0.14814814814814814,0.054311666601376984,0.2,0.14285714285714285
Always Dreaming,0.375,0.1908646861741716,0.375,0.375
American Freedom,0.18181818181818182,0.03677143788746509,0.18181818181818182,0.18181818181818182
American Pharoah,0.3223684210526316,0.286849680469952,0.2891566265060241,0.3306878306878307
Animal Kingdom,0.2786885245901639,0.18926288776254194,0.2916666666666667,0.24390243902439024
Any Given Saturday,0.2727272727272727,0.1696100118584354,0.1875,0.29411764705882354
Arakan,0.18181818181818182,0.03677143788746509,0.18181818181818182,0.18181818181818182
Arcano,0.25,0.05337550047023718,0.25,0.25
Arch,0.37777777777777777,0.26323418990446196,0.32,0.4230769230769231
Archarcharch,0.24444444444444444,0.17366952021267126,0.23684210526315788,0.25862068965517243
Army Mule,0.29411764705882354,0.13211096575490608,0.25,0.3125
Arrogate,0.3708609271523179,0.30737691635051606,0.23809523809523808,0.38686131386861317
Aussie Rules,0.1,0.019033120121624,0.10526315789473684,0.25
Australia,0.0975609756097561,0.03488485387651704,0.10526315789473684,0.2
Authentic,0.3333333333333333,0.1527176223846631,0.2,0.4166666666666667
Authorized,0.45454545454545453,0.2858004780871762,0.4666666666666667,0.25
Awesome Again,0.3333333333333333,0.21564763429812367,0.2,0.3611111111111111
Azamour,0.25,0.07882004566602895,0.2727272727272727,0.25
Bated Breath,0.21739130434782608,0.09410939841509938,0.23809523809523808,0.2222222222222222
Bayern,0.22727272727272727,0.09884352959849337,0.17647058823529413,0.3333333333333333
Belardo,0.26666666666666666,0.10404730759236569,0.2857142857142857,0.25
Belgravia,0.2608695652173913,0.12603399790646957,0.2857142857142857,0.2222222222222222
Bellamy Road,0.36666666666666664,0.22934001024044837,0.3333333333333333,0.35714285714285715
Beneteau,0.2222222222222222,0.046389263979611135,0.25,0.25
Bernardini,0.24468085106382978,0.19481999161816207,0.13333333333333333,0.2682926829268293
Bernstein,0.25,0.05337550047023718,0.25,0.25
Big Bad Bob,0.13333333333333333,0.025999332600867814,0.14285714285714285,0.25
Big Brown,0.2222222222222222,0.08464510203057857,0.2222222222222222,0.2222222222222222
Birdstone,0.3888888888888889,0.2604924723591216,0.3888888888888889,0.3888888888888889
Blame,0.19230769230769232,0.13255512166741742,0.275,0.15942028985507245
Blue Point,0.3181818181818182,0.1681758233914966,0.4117647058823529,0.16666666666666666
Bluegrass Cat,0.18333333333333332,0.1082227942434513,0.16,0.21428571428571427
Bobby's Kitten,0.3958333333333333,0.2833154332932822,0.3333333333333333,0.3953488372093023
Bodemeister,0.25,0.1285223634849194,0.4,0.2
Bolt d'Oro,0.18518518518518517,0.07898571028519465,0.2,0.2222222222222222
Brazen Beau,0.14285714285714285,0.02805337732017585,0.25,0.15384615384615385
Broken Vow,0.22916666666666666,0.13715198442703355,0.2692307692307692,0.20689655172413793
Bullet Train,0.13333333333333333,0.025999332600867814,0.18181818181818182,0.18181818181818182
Cairo Prince,0.34146341463414637,0.22553245189072227,0.15384615384615385,0.4
Cajun Breeze,0.4666666666666667,0.26358492378234966,0.4666666666666667,0.4666666666666667
California Chrome,0.24489795918367346,0.15104949366573459,0.125,0.3157894736842105
Camelot,0.19047619047619047,0.10097332379316575,0.21052631578947367,0.18181818181818182
Candy Ride,0.22807017543859648,0.14312589478285526,0.125,0.2708333333333333
Canford Cliffs,0.11764705882352941,0.042481299792738715,0.12,0.1875
Cape Blanco,0.18181818181818182,0.10405927140539496,0.11764705882352941,0.2222222222222222
Cape Cross,0.1875,0.11374934200543621,0.175,0.2413793103448276
Capitalist,0.5,0.27124991407766885,0.5,0.5
Caravaggio,0.3191489361702128,0.21291902844399505,0.3488372093023256,0.18181818181818182
Carpe Diem,0.3402061855670103,0.2633565752529039,0.14814814814814814,0.40789473684210525
Casamento,0.25,0.07882004566602895,0.3333333333333333,0.2
Catalina Cruiser,0.23809523809523808,0.1040808359101361,0.2222222222222222,0.2631578947368421
Catholic Boy,0.20588235294117646,0.10403677814474449,0.15789473684210525,0.3333333333333333
Central Banker,0.29545454545454547,0.18900882145510087,0.2222222222222222,0.30952380952380953
Champs Elysees,0.14285714285714285,0.04216940788577861,0.16666666666666666,0.2
Cherokee Run,0.17647058823529413,0.05314598448266387,0.25,0.1875
Churchill,0.13333333333333333,0.025999332600867814,0.15384615384615385,0.2222222222222222
City Zip,0.22033898305084745,0.13797772060344513,0.16216216216216217,0.3103448275862069
City of Light,0.0967741935483871,0.027815549739749652,0.25,0.1
Classic Empire,0.15384615384615385,0.030460165659137187,0.25,0.16666666666666666
Closing Argument,0.19230769230769232,0.11042333747848225,0.17647058823529413,0.24
Cloud Computing,0.375,0.1287563928042427,0.375,0.375
Collected,0.2972972972972973,0.18175377070193516,0.2222222222222222,0.3142857142857143
Colonel John,0.2222222222222222,0.11914399458890375,0.15789473684210525,0.30434782608695654
Competitive Edge,0.23076923076923078,0.07187025554226983,0.2727272727272727,0.2222222222222222
Complexity,0.3333333333333333,0.13507547291964123,0.3333333333333333,0.3333333333333333
Congrats,0.17006802721088435,0.12193283110077971,0.10810810810810811,0.20353982300884957
Connect,0.2608695652173913,0.12603399790646957,0.3,0.25
Constitution,0.28125,0.19350285935505354,0.15789473684210525,0.3333333333333333
Corinthian,0.15625,0.06578047054601774,0.2,0.23529411764705882
Cowboy Cal,0.2631578947368421,0.15457861039309775,0.36363636363636365,0.23529411764705882
Cracksman,0.15,0.04446484244557773,0.1875,0.18181818181818182
Creative Cause,0.3870967741935484,0.2495259051466325,0.3333333333333333,0.375
Curlin,0.2803030303030303,0.2358752704546332,0.203125,0.30198019801980197
Custom for Carlos,0.23529411764705882,0.0902524330304275,0.23529411764705882,0.23529411764705882
Daaher,0.3,0.09774681343927576,0.25,0.3333333333333333
Daiwa Major,0.32786885245901637,0.23303698490236105,0.17857142857142858,0.425
Dalakhani,0.14814814814814814,0.054311666601376984,0.18181818181818182,0.18181818181818182
Dandy Man,0.3888888888888889,0.2119081548195657,0.36363636363636365,0.35714285714285715
Danehill Dancer,0.16666666666666666,0.07049392284132051,0.1724137931034483,0.25
Danon Ballade,0.25,0.1285223634849194,0.2916666666666667,0.25
Dansili,0.3793103448275862,0.2777283286692392,0.38181818181818183,0.2222222222222222
Dark Angel,0.31527093596059114,0.2628019126384576,0.3448275862068966,0.16666666666666666
Data Link,0.2222222222222222,0.046389263979611135,0.2222222222222222,0.2222222222222222
Dawn Approach,0.18681318681318682,0.12407863037041232,0.2037037037037037,0.2
Declaration of War,0.2411764705882353,0.18913449786781544,0.2328767123287671,0.22826086956521738
Deep Field,0.2222222222222222,0.046389263979611135,0.2222222222222222,0.2222222222222222
Deep Impact,0.18181818181818182,0.03677143788746509,0.18181818181818182,0.18181818181818182
Denman,0.23076923076923078,0.07187025554226983,0.25,0.25
Desert Party,0.2,0.1063800448764146,0.25,0.20512820512820512
Dialed In,0.32142857142857145,0.1862198556743343,0.2222222222222222,0.34615384615384615
Discreet Cat,0.22580645161290322,0.14441651291739194,0.16,0.2727272727272727
Discreetly Mine,0.2777777777777778,0.16395695554403333,0.2222222222222222,0.29411764705882354
Distorted Humor,0.24257425742574257,0.19456641933714017,0.08695652173913043,0.2919254658385093
Dominus,0.4666666666666667,0.26358492378234966,0.2222222222222222,0.5384615384615384
Doyen,0.1111111111111111,0.021317626921521112,0.2222222222222222,0.125
Dream Ahead,0.125,0.024225732468536623,0.13333333333333333,0.25
Drosselmeyer,0.2857142857142857,0.13955374900238635,0.2777777777777778,0.3
Dubai Destination,0.26666666666666666,0.1453215823182127,0.26666666666666666,0.26666666666666666
Dubawi,0.3697916666666667,0.3133970456732633,0.39166666666666666,0.3291139240506329
Duke of Marmalade,0.12903225806451613,0.046854826914600675,0.14814814814814814,0.18181818181818182
Dundeel,0.18181818181818182,0.03677143788746509,0.2,0.25
Dunkirk,0.39473684210526316,0.2690551870775714,0.3684210526315789,0.38461538461538464
Dutch Art,0.36666666666666664,0.22934001024044837,0.3333333333333333,0.3684210526315789
Dylan Thomas,0.2222222222222222,0.046389263979611135,0.2222222222222222,0.2222222222222222
Dynaformer,0.23076923076923078,0.07187025554226983,0.23076923076923078,0.25
Earthlight,0.3,0.09774681343927576,0.3,0.3
Elusive City,0.2903225806451613,0.16632595561321167,0.3333333333333333,0.18181818181818182
